Index,Function,Standard,Swift,Recon_L,Recon_M
0,getElongationFeatureValue,0.8628452964018509,0.8656176565154792,0.8430692259389397,0.8442207946380612
0,getMajorAxisLengthFeatureValue,689.819458465074,688.4320569386493,418.3643651725482,418.40264748911375
0,getMaximumDiameterFeatureValue,723.3705827582429,723.3705827582429,423.2316150761897,429.7278208354679
0,getMeshSurfaceFeatureValue,151128.5,153625.0,110096.5,110524.5
0,getMinorAxisLengthFeatureValue,595.207475103061,595.9189437973646,352.7101215064561,353.22421554192823
0,getPerimeterFeatureValue,4645.821643387355,5109.912047183013,2680.0642840744076,2514.584053334043
0,getPerimeterSurfaceRatioFeatureValue,0.030740870473718426,0.03326224278068682,0.024342865432365312,0.02275137235032995
0,getPixelSurfaceFeatureValue,151133.0,153630.0,110092.0,110521.0
0,getSphericalDisproportionFeatureValue,3.3711991980412472,3.6777105456077623,2.278523555583333,2.1336930648119234
0,getSphericityFeatureValue,0.29663035058296927,0.27190829392331756,0.43888069427659987,0.46867097076502234
1,getElongationFeatureValue,0.8580280297178184,0.877681427377473,0.8755563358512155,0.8776630467634334
1,getMajorAxisLengthFeatureValue,415.87679384323314,409.27893738944385,410.59245180711565,410.7278782769943
1,getMaximumDiameterFeatureValue,427.1416626834709,419.3447269252351,419.38645662443605,419.30537797648145
1,getMeshSurfaceFeatureValue,111802.5,109017.5,110673.5,111141.0
1,getMinorAxisLengthFeatureValue,356.83394602667266,359.2165219635025,359.4968226324049,360.48068103926744
1,getPerimeterFeatureValue,2591.9221484506734,3160.9069965490535,2743.1597385039167,2591.3363620130413
1,getPerimeterSurfaceRatioFeatureValue,0.02318304285191005,0.028994491678391573,0.024786057534133436,0.023315755319936307
1,getPixelSurfaceFeatureValue,111797.0,109009.0,110666.0,111134.0
1,getSphericalDisproportionFeatureValue,2.1867103644052888,2.700590132567755,2.326078374652826,2.1927125743638833
1,getSphericityFeatureValue,0.45730793445613277,0.37028943709025086,0.4299081281598059,0.45605612504416126
2,getElongationFeatureValue,0.8908891035413422,0.200101426292627,0.20679801930315692,0.19867312203494567
2,getMajorAxisLengthFeatureValue,408.5422603184604,119.72913363093032,119.64847675934332,122.2348053863384
2,getMaximumDiameterFeatureValue,423.42649893458486,79.63039620647382,79.63039620647382,79.88116173416608
2,getMeshSurfaceFeatureValue,111799.0,253.0,257.0,261.0
2,getMinorAxisLengthFeatureValue,363.96584805386686,23.957970408329693,24.743068006472004,24.28477040743784
2,getPerimeterFeatureValue,2618.733331632717,127.15432893255088,130.8111831820433,129.3969696196702
2,getPerimeterSurfaceRatioFeatureValue,0.023423584572605453,0.5025862803658138,0.5089929306694292,0.4957738299604222
2,getPixelSurfaceFeatureValue,111794.0,254.0,258.0,262.0
2,getSphericalDisproportionFeatureValue,2.209364566238178,2.2551007925374407,2.3018307113210725,2.2594301510619172
2,getSphericityFeatureValue,0.45261882773048695,0.4434391594864367,0.43443681374208337,0.4425894730713435
3,getElongationFeatureValue,0.893668624375359,0.8945419893702669,0.9363303487925139,0.9350433969434692
3,getMajorAxisLengthFeatureValue,701.6619861214908,701.5532716597656,399.6916338431974,400.1899577746672
3,getMaximumDiameterFeatureValue,723.3705827582429,723.3705827582429,414.2366473406234,411.2736315398788
3,getMeshSurfaceFeatureValue,148804.0,150348.0,113219.0,113524.5
3,getMinorAxisLengthFeatureValue,627.0533019136749,627.568859279746,374.24340692585076,374.19497754028833
3,getPerimeterFeatureValue,4618.206419698216,4797.929291125701,2494.650070512018,2397.4541110191194
3,getPerimeterSurfaceRatioFeatureValue,0.031035499178101507,0.031912159065140215,0.022033846532048665,0.02111838511527573
3,getPixelSurfaceFeatureValue,148811.0,150355.0,113212.0,113518.0
3,getSphericalDisproportionFeatureValue,3.377233634330587,3.4905999945025328,2.0914382453373204,2.007245866756229
3,getSphericityFeatureValue,0.2961003318913746,0.2864836995287156,0.4781398648654403,0.49819507244323324
4,getElongationFeatureValue,0.9531097605936584,0.3366278385143492,0.9634836374054082,0.9041643700059876
4,getMajorAxisLengthFeatureValue,396.80213624744374,50.901888066105066,393.552049003058,707.1329819334035
4,getMaximumDiameterFeatureValue,418.1219917679528,49.24428900898052,407.5941609002759,723.3705827582429
4,getMeshSurfaceFeatureValue,114222.5,545.5,113531.0,148039.0
4,getMinorAxisLengthFeatureValue,378.1959890818533,17.134992555992294,379.1809596818178,639.3644471202712
4,getPerimeterFeatureValue,2369.4124804587705,137.29646455628193,2306.7261889577435,4244.116015902564
4,getPerimeterSurfaceRatioFeatureValue,0.020743833136717987,0.2516892109189403,0.02031802933963185,0.028668904923044358
4,getPixelSurfaceFeatureValue,114217.0,546.0,113528.0,148042.0
4,getSphericalDisproportionFeatureValue,1.9776977023961393,1.658276875683639,1.931229482009592,3.111675093783965
4,getSphericityFeatureValue,0.5056384495913707,0.6030356056118441,0.5178048540142539,0.32137031337161426
5,getElongationFeatureValue,0.915899914661652,0.9172491196712754,0.9746069436749201,0.31736069566439945
5,getMajorAxisLengthFeatureValue,707.8713438222329,707.8786122188749,394.5841572831793,159.92109390643827
5,getMaximumDiameterFeatureValue,723.3705827582429,723.3705827582429,408.93642537685486,112.8716084761797
5,getMeshSurfaceFeatureValue,147299.0,148263.0,114542.0,270.0
5,getMinorAxisLengthFeatureValue,648.339303398212,649.3010338918872,384.56445955230333,50.75266961355901
5,getPerimeterFeatureValue,4588.993216262619,4699.176982446705,2603.620633260517,158.12489168102823
5,getPerimeterSurfaceRatioFeatureValue,0.03115427271239193,0.03169487318108162,0.022730706930737345,0.5856477469667712
5,getPixelSurfaceFeatureValue,147305.0,148269.0,114535.0,272.0
5,getSphericalDisproportionFeatureValue,3.3729708229624165,3.442710294210782,2.170153190164422,2.714647393515221
5,getSphericityFeatureValue,0.2964745479540552,0.2904688209407534,0.4607969633352173,0.36837196697766744
6,getElongationFeatureValue,0.36663642271366415,0.4377685630482202,0.9300600441136823,0.5667299673046983
6,getMajorAxisLengthFeatureValue,31.67032772104798,27.766496731714177,709.3463707356651,26.720270709128226
6,getMaximumDiameterFeatureValue,33.06055050963308,28.160255680657446,723.3705827582429,29.068883707497267
6,getMeshSurfaceFeatureValue,276.5,257.5,147833.5,299.5
6,getMinorAxisLengthFeatureValue,11.611495661814422,12.155299375125617,659.734716858293,15.143178145356924
6,getPerimeterFeatureValue,87.59797974644668,71.69848480983497,5019.586145375208,78.42640687119285
6,getPerimeterSurfaceRatioFeatureValue,0.31681005333253776,0.278440717708097,0.0339543212152537,0.26185778588044356
6,getPixelSurfaceFeatureValue,277.0,258.0,147841.0,300.0
6,getSphericalDisproportionFeatureValue,1.4860779504119335,1.2604233183535578,3.6827865669431037,1.278377071703809
6,getSphericityFeatureValue,0.6729122114508226,0.79338424276874,0.2715335200187965,0.7822418143554541
7,getElongationFeatureValue,0.20537424436943405,0.317855830101517,0.3086727479634055,0.9657661208055752
7,getMajorAxisLengthFeatureValue,61.77820843552121,179.63849269342182,176.85029443479556,401.80463324181596
7,getMaximumDiameterFeatureValue,54.42425929675111,149.18780110987626,149.90663761154806,408.59393044929095
7,getMeshSurfaceFeatureValue,418.0,936.0,1171.0,117484.0
7,getMinorAxisLengthFeatureValue,12.687652875942566,57.09914221325289,54.5888663613257,388.0493019676555
7,getPerimeterFeatureValue,143.6396103067895,331.4213562373103,370.14927829866826,2467.2287142747346
7,getPerimeterSurfaceRatioFeatureValue,0.34363543135595576,0.35408264555268193,0.3160967363780258,0.021000550834792266
7,getPixelSurfaceFeatureValue,419.0,938.0,1172.0,117479.0
7,getSphericalDisproportionFeatureValue,1.9818972968363084,3.0558894125936713,3.05136055222277,2.03055667922877
7,getSphericityFeatureValue,0.5045670134352039,0.327236972607348,0.32772266105083775,0.4924757876642046
8,getElongationFeatureValue,0.25696615503776754,0.26712835767947707,0.2782792113371262,0.2600277516482181
8,getMajorAxisLengthFeatureValue,61.770174411329,66.05112636543315,62.66880939342775,62.60766225074798
8,getMaximumDiameterFeatureValue,59.20304046246274,64.03124237432849,59.481089431852205,59.20304046246274
8,getMeshSurfaceFeatureValue,682.5,729.5,739.5,662.5
8,getMinorAxisLengthFeatureValue,15.87284421449151,17.644128908877764,17.439426853439763,16.279729651013017
8,getPerimeterFeatureValue,152.8111831820433,162.2253967444164,156.8111831820433,151.98275605729708
8,getPerimeterSurfaceRatioFeatureValue,0.22389916949749933,0.22237888518768525,0.21205028151729993,0.2294079336713918
8,getPixelSurfaceFeatureValue,683.0,730.0,740.0,663.0
8,getSphericalDisproportionFeatureValue,1.6500567403369577,1.694342735019222,1.6266833090647568,1.665698683270424
8,getSphericityFeatureValue,0.6060397655148454,0.5901993612813261,0.6147478088866226,0.6003486765305027
9,getElongationFeatureValue,0.5589453937032658,0.5692295561978312,0.5036111334672626,0.5040553569175482
9,getMajorAxisLengthFeatureValue,266.7305008205508,267.01927068351233,272.1798234075164,272.30958797354367
9,getMaximumDiameterFeatureValue,198.65799757371965,201.1591409804685,201.1591409804685,201.1591409804685
9,getMeshSurfaceFeatureValue,713.5,2264.0,1962.5,1962.5
9,getMinorAxisLengthFeatureValue,149.087784793812,151.9952609474443,137.0727893731787,137.25910655807508
9,getPerimeterFeatureValue,311.2203461105339,708.0386719675149,612.6833329081873,604.6833329081873
9,getPerimeterSurfaceRatioFeatureValue,0.43618829167559064,0.31273792931427336,0.3121953288704139,0.30811889574939477
9,getPixelSurfaceFeatureValue,716.0,2267.0,1965.0,1965.0
9,getSphericalDisproportionFeatureValue,3.286745376078405,4.197723566941491,3.9014522996866443,3.8505098034229666
9,getSphericityFeatureValue,0.30425234862371797,0.23822435757212362,0.2563148087393809,0.25970587040475407
